"Gender Inequality Index (GII)"
"57","Kuwait","0.245",""
"122","Kyrgyzstan","0.381",""
"140","Lao People's Democratic Republic","0.463",""
"39","Latvia","0.169",""
"93","Lebanon","0.362",""
"164","Lesotho","0.546",""
"176","Liberia","0.651",""
"110","Libya","0.172",""
"34","Lithuania","0.124",""
"21","Luxembourg","0.078",""
"172","Malawi","0.615",""
"61","Malaysia","0.274",""
"104","Maldives","0.367",""
"184","Mali","0.676",""
"28","Malta","0.195",""
"161","Mauritania","0.620",""
"66","Mauritius","0.369",""
"76","Mexico","0.334",""
"107","Moldova (Republic of)","0.228",""
"92","Mongolia","0.322",""
"52","Montenegro","0.119",""
"121","Morocco","0.492",""
"180","Mozambique","0.569",""
"145","Myanmar","0.459",""
"130","Namibia","0.460",""
"147","Nepal","0.476",""
"10","Netherlands","0.041",""
"14","New Zealand","0.133",""
"126","Nicaragua","0.455",""
"189","Niger","0.647",""
"82","North Macedonia","0.145",""
"1","Norway","0.044",""
"47","Oman","0.304",""
"152","Pakistan","0.547",""
"67","Panama","0.460",""
"155","Papua New Guinea","0.740",""
"98","Paraguay","0.482",""
"82","Peru","0.381",""
"106","Philippines","0.425",""
"32","Poland","0.120",""
"40","Portugal","0.081",""
"41","Qatar","0.202",""
"52","Romania","0.316",""
"49","Russian Federation","0.255",""
"157","Rwanda","0.412",""
"89","Saint Lucia","0.333",""
"111","Samoa","0.364",""
"137","Sao Tome and Principe","0.547",""
"36","Saudi Arabia","0.224",""
"166","Senegal","0.523",""
"63","Serbia","0.162",""
"181","Sierra Leone","0.644",""
"9","Singapore","0.065",""
"36","Slovakia","0.190",""
"24","Slovenia","0.069",""
"113","South Africa","0.422",""
"25","Spain","0.074",""
"71","Sri Lanka","0.380",""
"168","Sudan","0.560",""
"98","Suriname","0.465",""
"8","Sweden","0.040",""
"2","Switzerland","0.037",""
"154","Syrian Arab Republic","0.547",""
"125","Tajikistan","0.377",""
"159","Tanzania (United Republic of)","0.539",""
"77","Thailand","0.377",""
"167","Togo","0.566",""
"105","Tonga","0.418",""
"63","Trinidad and Tobago","0.324",""
"91","Tunisia","0.300",""
"59","Turkey","0.305",""
"159","Uganda","0.531",""
"88","Ukraine","0.284",""
"35","United Arab Emirates","0.113",""
"15","United Kingdom","0.119",""
"15","United States","0.182",""
"57","Uruguay","0.275",""
"108","Uzbekistan","0.303",""
"96","Venezuela (Bolivarian Republic of)","0.458",""
"118","Viet Nam","0.314",""
"177","Yemen","0.834",""
"143","Zambia","0.540",""
"150","Zimbabwe","0.525",""
"36","Andorra","..",""
"74","Antigua and Barbuda","..",""
"156","Comoros","..",""
"171","Djibouti","..",""
"98","Dominica","..",""
"182","Eritrea","..",""
"135","Micronesia (Federated States of)","..",""
"174","Guinea","..",""
"178","Guinea-Bissau","..",""
"144","Equatorial Guinea","..",""
"78","Grenada","..",""
"4","Hong Kong, China (SAR)","..",""
"132","Kiribati","..",""
"73","Saint Kitts and Nevis","..",""
"18","Liechtenstein","..",""
"162","Madagascar","..",""
"117","Marshall Islands","..",""
"158","Nigeria","..",""
"55","Palau","..",""
"119","Palestine, State of","..",""
"153","Solomon Islands","..",""
"186","South Sudan","..",""
"62","Seychelles","..",""
"108","Turkmenistan","..",""
"131","Timor-Leste","..",""
"94","Saint Vincent and the Grenadines","..",""
"141","Vanuatu","..",""
"","Human Development","..",""
" ","Very high human development","0.175",""
" ","High human development","0.331",""
" ","Medium human development","0.501",""
" ","Low human development","0.590",""
" ","Developing Countries","0.466",""
"","Regions","..",""
" ","Arab States","0.531",""
" ","East Asia and the Pacific","0.310",""
" ","Europe and Central Asia","0.276",""
" ","Latin America and the Caribbean","0.383",""
" ","South Asia","0.515",""
" ","Sub-Saharan Africa","0.572",""
" ","Least Developed Countries","0.561",""
" ","Small Island Developing States","0.452",""
" ","Organization for Economic Co-operation and Development","0.182",""
" ","World","0.439",""
""
